Order ID,Customer ID,Product Name,Category,Quantity,Unit Price,Total Amount,Order Date,Payment Mode,Delivery Status,City/Region
ORD00001,CUST0088,Perfume,Beauty,3,2319.0,6957.0,2025-08-03,Net Banking,Delivered,Bengaluru
ORD00002,CUST0022,Storage Box,Home & Kitchen,2,2683.0,5366.0,2025-11-10,Net Banking,Delivered,Pune
ORD00003,CUST0051,Bedsheet,Home & Kitchen,2,1225.0,2450.0,2025-06-24,Cash on Delivery,Delivered,Delhi
ORD00004,CUST0014,Storage Box,Home & Kitchen,3,3138.0,9414.0,2025-03-30,Credit Card,Delivered,Chennai
ORD00005,CUST0206,Cricket Bat,Sports,4,4314.0,17256.0,2025-02-04,UPI,Delivered,Bengaluru
ORD00006,CUST0270,Moisturizer,Beauty,2,1729.0,3458.0,2025-07-21,Cash on Delivery,Delivered,Bengaluru
ORD00007,CUST0157,Running Shoes,Sports,2,679.0,1358.0,2025-02-10,Net Banking,Delivered,Hyderabad
ORD00008,CUST0289,Wireless Headphones,Electronics,4,3195.0,12780.0,2025-06-12,Debit Card,Delivered,Hyderabad
ORD00009,CUST0216,T-Shirt,Fashion,4,500.0,2000.0,2025-03-03,Net Banking,Shipped,Bengaluru
ORD00010,CUST0283,Bedsheet,Home & Kitchen,1,2940.0,2940.0,2025-09-12,UPI,Delivered,Chennai
ORD00011,CUST0231,Jacket,Fashion,5,3090.0,15450.0,2025-08-10,Net Banking,Delivered,Nagpur
ORD00012,CUST0284,Football,Sports,3,3360.0,10080.0,2025-05-14,Cash on Delivery,Delivered,Nagpur
ORD00013,CUST0116,Mixer Grinder,Home & Kitchen,4,5754.0,23016.0,2025-05-01,Net Banking,Processing,Hyderabad
ORD00014,CUST0160,Cookware Set,Home & Kitchen,5,5029.0,25145.0,2025-11-11,UPI,Delivered,Pune
ORD00015,CUST0130,Jacket,Fashion,4,3484.0,13936.0,2025-01-02,Cash on Delivery,Delivered,Aurangabad
ORD00016,CUST0198,Wireless Headphones,Electronics,3,6257.0,18771.0,2025-06-09,Cash on Delivery,Delivered,Bengaluru
ORD00017,CUST0124,Cookware Set,Home & Kitchen,5,2180.0,10900.0,2025-07-20,Debit Card,Delivered,Nashik
ORD00018,CUST0199,Lipstick,Beauty,3,2136.0,6408.0,2025-05-28,Cash on Delivery,Cancelled,Bengaluru
ORD00019,CUST0144,T-Shirt,Fashion,3,2269.0,6807.0,2025-09-09,Credit Card,Cancelled,Nagpur
ORD00020,CUST0009,Face Wash,Beauty,2,602.0,1204.0,2025-06-09,UPI,Delivered,Nashik
ORD00021,CUST0254,Face Wash,Beauty,4,1595.0,6380.0,2025-12-06,Debit Card,Delivered,Delhi
ORD00022,CUST0163,Cookware Set,Home & Kitchen,5,5223.0,26115.0,2025-11-06,Net Banking,Delivered,Pune
ORD00023,CUST0033,Face Wash,Beauty,5,1308.0,6540.0,2025-05-08,Cash on Delivery,Delivered,Latur
ORD00024,CUST0147,Football,Sports,3,1259.0,3777.0,2025-11-13,Cash on Delivery,Delivered,Pune
ORD00025,CUST0181,Power Bank,Electronics,4,2705.0,10820.0,2025-10-07,Debit Card,Cancelled,Nagpur
ORD00026,CUST0174,Running Shoes,Sports,1,869.0,869.0,2025-11-19,Credit Card,Delivered,Latur
ORD00027,CUST0013,Sneakers,Fashion,2,1084.0,2168.0,2025-01-26,Cash on Delivery,Delivered,Delhi
ORD00028,CUST0288,Perfume,Beauty,4,1121.0,4484.0,2025-04-02,Debit Card,Delivered,Latur
ORD00029,CUST0264,Jeans,Fashion,1,981.0,981.0,2025-04-11,Net Banking,Delivered,Aurangabad
ORD00030,CUST0158,Perfume,Beauty,4,519.0,2076.0,2025-04-16,Debit Card,Shipped,Nashik
ORD00031,CUST0058,Moisturizer,Beauty,2,1300.0,2600.0,2025-05-09,Credit Card,Delivered,Mumbai
ORD00032,CUST0278,USB Cable,Electronics,5,5492.0,27460.0,2025-03-10,Net Banking,Delivered,Chennai
ORD00033,CUST0204,Storage Box,Home & Kitchen,1,5438.0,5438.0,2025-08-26,Credit Card,Shipped,Aurangabad
ORD00034,CUST0004,Face Wash,Beauty,5,1781.0,8905.0,2025-11-21,Credit Card,Delivered,Nagpur
ORD00035,CUST0268,Moisturizer,Beauty,3,1106.0,3318.0,2025-04-11,Debit Card,Shipped,Bengaluru
ORD00036,CUST0242,Sneakers,Fashion,4,2744.0,10976.0,2025-09-10,Debit Card,Delivered,Chennai
ORD00037,CUST0114,Cricket Bat,Sports,2,916.0,1832.0,2025-07-15,Net Banking,Processing,Bengaluru
ORD00038,CUST0227,Face Wash,Beauty,5,2042.0,10210.0,2025-07-11,UPI,Shipped,Nagpur
ORD00039,CUST0286,T-Shirt,Fashion,5,1848.0,9240.0,2025-12-27,UPI,Delivered,Nagpur
ORD00040,CUST0284,USB Cable,Electronics,3,7686.0,23058.0,2025-09-22,Cash on Delivery,Delivered,Aurangabad
ORD00041,CUST0144,Football,Sports,4,3936.0,15744.0,2025-05-31,UPI,Delivered,Aurangabad
ORD00042,CUST0230,Jeans,Fashion,2,1538.0,3076.0,2025-09-10,Net Banking,Delivered,Delhi
ORD00043,CUST0145,Sneakers,Fashion,2,1840.0,3680.0,2025-05-16,UPI,Delivered,Nagpur
ORD00044,CUST0019,Shampoo,Beauty,5,240.0,1200.0,2025-12-12,Debit Card,Delivered,Mumbai
ORD00045,CUST0190,Moisturizer,Beauty,4,1044.0,4176.0,2025-01-01,UPI,Delivered,Pune
ORD00046,CUST0149,Wireless Headphones,Electronics,5,633.0,3165.0,2025-10-30,Net Banking,Cancelled,Aurangabad
ORD00047,CUST0054,Shampoo,Beauty,3,1699.0,5097.0,2025-01-01,Debit Card,Processing,Delhi
ORD00048,CUST0008,Water Bottle,Home & Kitchen,2,5313.0,10626.0,2025-06-05,Credit Card,Delivered,Chennai
ORD00049,CUST0201,Jacket,Fashion,2,3079.0,6158.0,2025-05-25,UPI,Delivered,Nashik
ORD00050,CUST0286,Cricket Bat,Sports,3,309.0,927.0,2025-11-08,Credit Card,Delivered,Aurangabad
ORD00051,CUST0283,Wireless Headphones,Electronics,2,723.0,1446.0,2025-11-11,UPI,Shipped,Mumbai
ORD00052,CUST0133,Bluetooth Speaker,Electronics,1,904.0,904.0,2025-07-16,Debit Card,Delivered,Aurangabad
ORD00053,CUST0288,Running Shoes,Sports,2,1016.0,2032.0,2025-09-17,Credit Card,Delivered,Bengaluru
ORD00054,CUST0236,Jeans,Fashion,2,2465.0,4930.0,2025-02-23,Net Banking,Delivered,Delhi
ORD00055,CUST0252,USB Cable,Electronics,5,4481.0,22405.0,2025-07-11,Credit Card,Delivered,Mumbai
ORD00056,CUST0030,Sneakers,Fashion,3,2317.0,6951.0,2025-12-01,Credit Card,Processing,Aurangabad
ORD00057,CUST0034,Dumbbells,Sports,2,3331.0,6662.0,2025-03-10,Net Banking,Delivered,Nashik
ORD00058,CUST0195,Bluetooth Speaker,Electronics,4,4955.0,19820.0,2025-12-18,Debit Card,Delivered,Mumbai
ORD00059,CUST0001,Cricket Bat,Sports,3,4200.0,12600.0,2025-01-22,Net Banking,Delivered,Chennai
ORD00060,CUST0056,T-Shirt,Fashion,2,3444.0,6888.0,2025-08-27,Debit Card,Processing,Pune
ORD00061,CUST0127,Jacket,Fashion,1,924.0,924.0,2025-10-30,Credit Card,Shipped,Bengaluru
ORD00062,CUST0239,Handbag,Fashion,2,3046.0,6092.0,2025-08-26,Cash on Delivery,Delivered,Chennai
ORD00063,CUST0231,Bedsheet,Home & Kitchen,1,2325.0,2325.0,2025-09-30,Credit Card,Delivered,Delhi
ORD00064,CUST0111,USB Cable,Electronics,4,6668.0,26672.0,2025-05-26,Cash on Delivery,Delivered,Mumbai
ORD00065,CUST0229,Power Bank,Electronics,3,2972.0,8916.0,2025-11-11,UPI,Delivered,Latur
ORD00066,CUST0040,Dumbbells,Sports,3,542.0,1626.0,2025-01-31,Net Banking,Cancelled,Latur
ORD00067,CUST0062,Jacket,Fashion,4,303.0,1212.0,2025-04-04,UPI,Delivered,Bengaluru
ORD00068,CUST0225,Sneakers,Fashion,5,1968.0,9840.0,2025-07-31,Cash on Delivery,Delivered,Pune
ORD00069,CUST0261,Handbag,Fashion,3,2326.0,6978.0,2025-01-10,Credit Card,Cancelled,Bengaluru
ORD00070,CUST0094,Jacket,Fashion,1,1936.0,1936.0,2025-02-07,UPI,Processing,Mumbai
ORD00071,CUST0267,Football,Sports,1,3691.0,3691.0,2025-03-01,UPI,Shipped,Nashik
ORD00072,CUST0042,Running Shoes,Sports,5,900.0,4500.0,2025-08-25,UPI,Delivered,Bengaluru
ORD00073,CUST0225,Storage Box,Home & Kitchen,1,2440.0,2440.0,2025-05-25,Credit Card,Delivered,Bengaluru
ORD00074,CUST0157,Bedsheet,Home & Kitchen,3,5817.0,17451.0,2025-08-19,UPI,Delivered,Aurangabad
