Order ID,Customer ID,Product Name,Category,Quantity,Unit Price,Total Amount,Order Date,Payment Mode,Delivery Status,City
ORD00001,CUST0088,Perfume,Beauty,3,2319,6957,2025-08-03,Net Banking,Delivered,Bengaluru
ORD00002,CUST0022,Storage Box,Home & Kitchen,2,2683,5366,2025-11-10,Net Banking,Delivered,Pune
ORD00003,CUST0051,Bedsheet,Home & Kitchen,2,1225,2450,2025-06-24,Cash on Delivery,Delivered,Delhi
ORD00004,CUST0014,Storage Box,Home & Kitchen,3,3138,9414,2025-03-30,Credit Card,Delivered,Chennai
ORD00005,CUST0206,Cricket Bat,Sports,4,4314,17256,2025-02-04,UPI,Delivered,Bengaluru
ORD00006,CUST0270,Moisturizer,Beauty,2,1729,3458,2025-07-21,Cash on Delivery,Delivered,Bengaluru
ORD00007,CUST0157,Running Shoes,Sports,2,679,1358,2025-02-10,Net Banking,Delivered,Hyderabad
ORD00008,CUST0289,Wireless Headphones,Electronics,4,3195,12780,2025-06-12,Debit Card,Delivered,Hyderabad
ORD00009,CUST0216,T-Shirt,Fashion,4,500,2000,2025-03-03,Net Banking,Shipped,Bengaluru
ORD00010,CUST0283,Bedsheet,Home & Kitchen,1,2940,2940,2025-09-12,UPI,Delivered,Chennai
ORD00011,CUST0231,Jacket,Fashion,5,3090,15450,2025-08-10,Net Banking,Delivered,Nagpur
ORD00012,CUST0284,Football,Sports,-3,3360,10080,2025-05-14,Cash on Delivery,Delivered,Nagpur
ORD00013,CUST0116,Mixer Grinder,Home & Kitchen,4,5754,23016,2025-05-01,Net Banking,Processing,Hyderabad
ORD00014,CUST0160,Cookware Set,Home & Kitchen,5,5029,25145,2025-11-11,UPI,Delivered,Pune
ORD00015,CUST0130,Jacket,Fashion,4,3484,13936,2025-01-02,Cash on Delivery,Delivered,Aurangabad
ORD00016,CUST0198,Wireless Headphones,Electronics,3,6257,18771,2025-06-09,Cash on Delivery,Delivered,Bengaluru
ORD00017,CUST0124,Cookware Set,Home & Kitchen,5,2180,10900,2025-07-20,Debit Card,Delivered,Nashik
ORD00018,CUST0199,Lipstick,Beauty,3,2136,6408,2025-05-28,Cash on Delivery,Cancelled,Bengaluru
ORD00019,CUST0144,T-Shirt,Fashion,3,2269,6807,2025-09-09,Credit Card,Cancelled,Nagpur
ORD00020,CUST0009,Face Wash,Beauty,2,602,1204,2025-06-09,UPI,Delivered,Nashik
ORD00021,CUST0254,Face Wash,Beauty,4,1595,6380,2025-12-06,Debit Card,Delivered,Delhi
ORD00022,CUST0163,Cookware Set,Home & Kitchen,5,5223,26115,2025-11-06,Net Banking,Delivered,Pune
ORD00023,CUST0033,Face Wash,Beauty,5,1308,6540,2025-05-08,Cash on Delivery,Delivered,Latur
ORD00024,CUST0147,Football,Sports,3,1259,3777,2025-11-13,Cash on Delivery,Delivered,Pune
ORD00025,CUST0181,Power Bank,Electronics,4,2705,10820,2025-10-07,Debit Card,Cancelled,Nagpur
ORD00026,CUST0174,Running Shoes,Sports,1,869,869,2025-11-19,Credit Card,Delivered,Latur
ORD00027,CUST0013,Sneakers,Fashion,2,1084,2168,2025-01-26,Cash on Delivery,Delivered,Delhi
